,date,time,sat,
0,02/06/2024,12:22:27,L9,
2,02/06/2024,12:22:51,L9,
0,10/06/2024,12:22:10,L8,
2,10/06/2024,12:22:34,L8,
0,16/06/2024,12:00:01,Aster,
4,17/06/2024,12:28:26,L8,
1,18/06/2024,12:22:14,L9,
3,18/06/2024,12:22:38,L9,
4,25/06/2024,12:28:19,L9,
1,26/06/2024,12:22:22,L8,
3,26/06/2024,12:22:46,L8,
1,30/06/2024,03:06:19,Ecostress,
2,29/06/2024,03:53:45,Ecostress,
3,28/06/2024,05:42:41,Ecostress,
4,26/06/2024,09:33:33,Ecostress,
5,25/06/2024,05:30:28,Ecostress,
6,24/06/2024,11:09:55,Ecostress,
